"Call Tree","Time (ms)","Level"
"<All threads>","724","1"
"java.lang.Thread.run()","366","2"
"Thread.java:748 java.util.concurrent.ThreadPoolExecutor$Worker.run()","366","3"
"ThreadPoolExecutor.java:624 java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor$Worker)","366","4"
"ThreadPoolExecutor.java:1149 java.util.concurrent.FutureTask.run()","366","5"
"FutureTask.java:266 java.util.concurrent.Executors$RunnableAdapter.call()","366","6"
"Executors.java:511 java.util.concurrent.FutureTask.run()","366","7"
"FutureTask.java:266 org.openjdk.jmh.runner.BenchmarkHandler$BenchmarkTask.call()","366","8"
"BenchmarkHandler.java:437 org.openjdk.jmh.runner.BenchmarkHandler$BenchmarkTask.call()","366","9"
"BenchmarkHandler.java:453 java.lang.reflect.Method.invoke(Object, Object[])","366","10"
"Method.java:498 sun.reflect.DelegatingMethodAccessorImpl.invoke(Object, Object[])","366","11"
"DelegatingMethodAccessorImpl.java:43 sun.reflect.NativeMethodAccessorImpl.invoke(Object, Object[])","366","12"
"NativeMethodAccessorImpl.java:62 sun.reflect.NativeMethodAccessorImpl.invoke0(Method, Object, Object[])","366","13"
"NativeMethodAccessorImpl.java (native) eu.prismacloud.primitives.grs.bench.generated.SetupEncodingBenchmark_measureSetupEncoding_jmhTest.measureSetupEncoding_SingleShotTime(InfraControl, ThreadParams)","366","14"
"SetupEncodingBenchmark_measureSetupEncoding_jmhTest.java:368 eu.prismacloud.primitives.grs.bench.generated.SetupEncodingBenchmark_measureSetupEncoding_jmhTest.measureSetupEncoding_ss_jmhStub(InfraControl, RawResults, BenchmarkParams, IterationParams, ThreadParams, Blackhole, Control, int, int, SetupEncodingBenchmark_jmhType)","339","15"
"SetupEncodingBenchmark_measureSetupEncoding_jmhTest.java:412 eu.prismacloud.primitives.grs.bench.SetupEncodingBenchmark.measureSetupEncoding(Blackhole)","339","16"
"SetupEncodingBenchmark.java:128 java.math.BigInteger.nextProbablePrime()","339","17"
"BigInteger.java:820 java.math.BigInteger.primeToCertainty(int, Random)","339","18"
"BigInteger.java:876 java.math.BigInteger.passesMillerRabin(int, Random)","339","19"
"BigInteger.java:1036 java.math.BigInteger.modPow(BigInteger, BigInteger)","200","20"
"BigInteger.java:2603 java.math.BigInteger.oddModPow(BigInteger, BigInteger)","193","21"
