"Call Tree","Time (ms)","Level"
"<All threads>","843","1"
"java.lang.Thread.run()","504","2"
"Thread.java:748 java.util.concurrent.ThreadPoolExecutor$Worker.run()","504","3"
"ThreadPoolExecutor.java:624 java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor$Worker)","504","4"
"ThreadPoolExecutor.java:1149 java.util.concurrent.FutureTask.run()","504","5"
"FutureTask.java:266 java.util.concurrent.Executors$RunnableAdapter.call()","504","6"
"Executors.java:511 java.util.concurrent.FutureTask.run()","504","7"
"FutureTask.java:266 org.openjdk.jmh.runner.BenchmarkHandler$BenchmarkTask.call()","504","8"
"BenchmarkHandler.java:437 org.openjdk.jmh.runner.BenchmarkHandler$BenchmarkTask.call()","504","9"
"BenchmarkHandler.java:453 java.lang.reflect.Method.invoke(Object, Object[])","504","10"
"Method.java:498 sun.reflect.DelegatingMethodAccessorImpl.invoke(Object, Object[])","504","11"
"DelegatingMethodAccessorImpl.java:43 sun.reflect.NativeMethodAccessorImpl.invoke(Object, Object[])","504","12"
"NativeMethodAccessorImpl.java:62 sun.reflect.NativeMethodAccessorImpl.invoke0(Method, Object, Object[])","504","13"
"NativeMethodAccessorImpl.java (native) eu.prismacloud.primitives.grs.bench.generated.SetupEncodingBenchmark_measureSetupEncoding_jmhTest.measureSetupEncoding_SingleShotTime(InfraControl, ThreadParams)","504","14"
"SetupEncodingBenchmark_measureSetupEncoding_jmhTest.java:368 eu.prismacloud.primitives.grs.bench.generated.SetupEncodingBenchmark_measureSetupEncoding_jmhTest.measureSetupEncoding_ss_jmhStub(InfraControl, RawResults, BenchmarkParams, IterationParams, ThreadParams, Blackhole, Control, int, int, SetupEncodingBenchmark_jmhType)","481","15"
"SetupEncodingBenchmark_measureSetupEncoding_jmhTest.java:412 eu.prismacloud.primitives.grs.bench.SetupEncodingBenchmark.measureSetupEncoding(Blackhole)","481","16"
"SetupEncodingBenchmark.java:128 java.math.BigInteger.nextProbablePrime()","481","17"
"BigInteger.java:820 java.math.BigInteger.primeToCertainty(int, Random)","471","18"
"BigInteger.java:876 java.math.BigInteger.passesMillerRabin(int, Random)","471","19"
"BigInteger.java:1036 java.math.BigInteger.modPow(BigInteger, BigInteger)","364","20"
"BigInteger.java:2603 java.math.BigInteger.oddModPow(BigInteger, BigInteger)","353","21"
